timestamp,order_type,price,stop_loss,take_profit,lot_size,order_id,balance,status,close_price,close_time,profit_loss,close_reason
2025-08-06 18:08:27,BUY,3369.05,3366.66,2.07,0.04,4281754661,100000.0,OPEN,,,,
2025-08-06 18:09:27,BUY,3370.16,3366.66,2.1,0.03,4281765452,100000.0,OPEN,,,,
2025-08-06 18:10:28,BUY,3370.17,3366.66,2.11,0.03,4281776795,100000.0,OPEN,,,,
2025-08-06 18:11:28,BUY,3369.46,3366.66,2.09,0.04,4281789202,100000.0,OPEN,,,,
2025-08-06 18:12:28,BUY,3369.51,3366.66,2.09,0.04,4281802536,100000.0,OPEN,,,,
2025-08-06 18:13:28,BUY,3369.36,3366.66,2.05,0.04,4281814106,100000.0,OPEN,,,,
2025-08-06 18:14:29,BUY,3368.17,3366.66,2.4,0.07,4281825181,100000.0,OPEN,,,,
2025-08-06 18:15:29,BUY,3368.76,3366.66,1.99,0.05,4281840427,100000.0,OPEN,,,,
2025-08-06 18:16:29,BUY,3369.07,3366.66,1.99,0.04,4281852265,100000.0,OPEN,,,,
2025-08-06 18:17:30,BUY,3368.75,3366.66,1.95,0.05,4281863620,100000.0,OPEN,,,,
2025-08-06 18:18:30,BUY,3369.85,3366.66,1.96,0.03,4281876719,100000.0,OPEN,,,,
2025-08-06 18:19:30,BUY,3369.72,3366.66,1.93,0.03,4281885021,100000.0,OPEN,,,,
2025-08-06 18:20:30,BUY,3369.51,3366.66,1.88,0.04,4281896049,100000.0,OPEN,,,,
2025-08-06 18:21:31,BUY,3370.04,3366.72,1.81,0.03,4281907980,100000.0,OPEN,,,,
2025-08-06 18:22:31,BUY,3370.18,3366.72,1.74,0.03,4281917830,100000.0,OPEN,,,,
2025-08-06 18:23:31,BUY,3369.13,3366.72,1.68,0.04,4281929235,100000.0,OPEN,,,,
2025-08-06 18:30:32,BUY,3369.66,3366.92,1.57,0.04,4282006700,100000.0,OPEN,,,,
2025-08-06 18:31:32,BUY,3370.02,3367.09,1.56,0.03,4282020115,100000.0,OPEN,,,,
2025-08-06 18:32:32,SELL,3366.71,3371.18,1.59,0.02,4282035179,100000.0,OPEN,,,,
2025-08-06 18:35:33,SELL,3366.41,3370.98,1.99,0.02,4282083795,100000.0,OPEN,,,,
2025-08-06 18:36:33,SELL,3365.85,3370.72,2.13,0.02,4282097421,100000.0,OPEN,,,,
2025-08-06 18:37:34,SELL,3366.17,3370.69,2.21,0.02,4282108575,100000.0,OPEN,,,,
2025-08-06 18:39:34,SELL,3366.24,3370.7,2.37,0.02,4282134532,100000.0,OPEN,,,,
2025-08-06 18:40:34,SELL,3367.36,3370.7,2.43,0.03,4282146039,100000.0,OPEN,,,,
2025-08-06 18:41:35,SELL,3366.44,3370.7,2.51,0.02,4282158649,100000.0,OPEN,,,,
